MSFT,2/28/2019,$868.21 ,$890.27 ,$849.97 ,$908.51 
GOOG,2/28/2019,$318.61 ,$355.50 ,$307.61 ,$366.50 
ROG,2/28/2019,$691.68 ,$722.40 ,$650.55 ,$763.53 
ROG,3/3/2019,$753.58 ,$768.52 ,$725.41 ,$796.69 
MSFT,3/3/2019,$772.06 ,$799.84 ,$758.48 ,$813.43 
BELL,3/3/2019,$957.94 ,$962.26 ,$909.31 ,"$1,010.89 "
MSFT,2/28/2019,$596.62 ,$642.30 ,$595.81 ,$643.11 
LYD,3/4/2019,$911.76 ,$915.42 ,$862.82 ,$964.36 
DC.WT,3/3/2019,$406.06 ,$453.57 ,$373.04 ,$486.60 
MSFT,3/3/2019,$415.50 ,$438.97 ,$385.38 ,$469.09 
ROG,3/3/2019,$750.85 ,$796.97 ,$740.80 ,$807.03 
TSLA,3/2/2019,$934.21 ,$977.17 ,$885.20 ,"$1,026.18 "
DC.WT,3/1/2019,$272.89 ,$306.11 ,$245.67 ,$333.33 
GOOG,3/4/2019,$533.46 ,$573.53 ,$513.35 ,$593.63 
TSLA,3/1/2019,$585.32 ,$621.75 ,$549.86 ,$657.20 
DC.WT,3/3/2019,$272.28 ,$273.74 ,$254.00 ,$292.01 
RBC,3/4/2019,$439.03 ,$452.26 ,$433.26 ,$458.02 
RBC,3/2/2019,$92.03 ,$139.86 ,$60.83 ,$171.05 
MSFT,2/28/2019,$443.11 ,$449.71 ,$398.16 ,$494.65 
ARG,2/28/2019,$176.72 ,$189.15 ,$128.35 ,$237.52 
L.PR.B,3/1/2019,$288.10 ,$292.75 ,$241.72 ,$339.12 
LYD,3/4/2019,$298.69 ,$344.24 ,$286.11 ,$356.83 
RBC,3/4/2019,$886.52 ,$897.52 ,$870.36 ,$913.68 
L.PR.B,3/3/2019,$261.21 ,$291.51 ,$217.54 ,$335.18 
LYD,3/2/2019,$758.74 ,$795.66 ,$719.05 ,$835.35 
